Linux 3.0.101-0.15-default (axle) 	11/17/2014 	_x86_64_

07:46:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:47:09 PM     all     16.75      0.00      3.76      0.00      0.00     79.49
07:48:09 PM     all     11.98      0.00      2.27      0.00      0.00     85.74
07:49:09 PM     all      5.79      0.00      1.77      0.00      0.00     92.44
07:50:09 PM     all      5.74      0.00      1.18      0.00      0.00     93.08
07:51:09 PM     all      5.76      0.00      1.04      0.00      0.00     93.20
07:52:09 PM     all     10.97      0.00      2.92      0.00      0.00     86.11
07:53:09 PM     all      8.95      0.00      0.34      0.00      0.00     90.71
07:54:09 PM     all      5.02      0.00      1.24      0.00      0.00     93.74
07:55:09 PM     all     15.25      0.00      2.57      0.00      0.00     82.18
07:56:09 PM     all     11.50      0.00      0.73      0.00      0.00     87.77
07:57:09 PM     all      6.15      0.00      0.18      0.00      0.00     93.67
07:58:09 PM     all      5.66      0.00      0.40      0.00      0.00     93.94
